response_id,policy_id,insured_id,question_id,question_text,response_text,response_quality_label
QR-80000,POL-2020000,INS-10000,Q01,Describe your incident response plan and last test date.,We have an incident response plan that was last reviewed in February 2020. The plan covers major incident types. Tabletop exercises are conducted annually. We do not currently have an external IR retainer but have relationships with two firms.,medium
QR-80001,POL-2020000,INS-10000,Q02,Describe your third-party vendor risk management program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80002,POL-2020000,INS-10000,Q03,Describe your data backup strategy and recovery testing cadence.,Production systems are backed up nightly. Backups are stored in a separate region. We perform restoration testing approximately twice per year on select systems. Documented RTO targets exist for most tier-1 applications.,medium
QR-80003,POL-2020000,INS-10000,Q04,"Describe MFA coverage across users, systems, and privileged accounts.",MFA is deployed for approximately 85% of users. Administrative accounts require MFA. Some legacy applications do not yet support MFA and are being remediated as part of our 2024 roadmap.,medium
QR-80004,POL-2020000,INS-10000,Q05,Describe your endpoint detection and response (EDR) deployment.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80005,POL-2020000,INS-10000,Q06,Describe your patch management process and timelines for critical patches.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80006,POL-2020000,INS-10000,Q07,Describe network segmentation between corporate and production environments.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80007,POL-2020000,INS-10000,Q08,Describe your security awareness training program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80008,POL-2020000,INS-10000,Q09,Describe critical system recovery time objectives (RTO) and recovery point objectives (RPO).,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80009,POL-2020000,INS-10000,Q10,Describe your business continuity plan for ransomware scenarios.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80010,POL-2020001,INS-10001,Q01,Describe your incident response plan and last test date.,We have an incident response plan that was last reviewed in October 2020. The plan covers major incident types. Tabletop exercises are conducted annually. We do not currently have an external IR retainer but have relationships with two firms.,medium
QR-80011,POL-2020001,INS-10001,Q02,Describe your third-party vendor risk management program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80012,POL-2020001,INS-10001,Q03,Describe your data backup strategy and recovery testing cadence.,Production systems are backed up nightly. Backups are stored in a separate region. We perform restoration testing approximately twice per year on select systems. Documented RTO targets exist for most tier-1 applications.,medium
QR-80013,POL-2020001,INS-10001,Q04,"Describe MFA coverage across users, systems, and privileged accounts.",MFA is deployed for approximately 85% of users. Administrative accounts require MFA. Some legacy applications do not yet support MFA and are being remediated as part of our 2024 roadmap.,medium
QR-80014,POL-2020001,INS-10001,Q05,Describe your endpoint detection and response (EDR) deployment.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80015,POL-2020001,INS-10001,Q06,Describe your patch management process and timelines for critical patches.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80016,POL-2020001,INS-10001,Q07,Describe network segmentation between corporate and production environments.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80017,POL-2020001,INS-10001,Q08,Describe your security awareness training program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80018,POL-2020001,INS-10001,Q09,Describe critical system recovery time objectives (RTO) and recovery point objectives (RPO).,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80019,POL-2020001,INS-10001,Q10,Describe your business continuity plan for ransomware scenarios.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80020,POL-2020002,INS-10002,Q01,Describe your incident response plan and last test date.,"We maintain a formal incident response plan aligned with NIST SP 800-61. The plan was last tested via tabletop exercise on December 2019 with executive participation. We engage an external IR retainer with a 4-hour SLA. Playbooks exist for ransomware, BEC, and insider threat scenarios.",high
QR-80021,POL-2020002,INS-10002,Q02,Describe your third-party vendor risk management program.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80022,POL-2020002,INS-10002,Q03,Describe your data backup strategy and recovery testing cadence.,All production systems are backed up daily with immutable storage in a separate cloud account. Backups are encrypted with customer-managed keys. We test full restoration of tier-1 systems quarterly; last test completed July 2019 with RTO of 8 hours achieved.,high
QR-80023,POL-2020002,INS-10002,Q04,"Describe MFA coverage across users, systems, and privileged accounts.",MFA is enforced for 100% of users via FIDO2 keys or authenticator apps. Privileged access requires hardware tokens. SaaS applications are integrated via SSO with conditional access policies. Service accounts use certificate-based authentication.,high
QR-80024,POL-2020002,INS-10002,Q05,Describe your endpoint detection and response (EDR) deployment.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80025,POL-2020002,INS-10002,Q06,Describe your patch management process and timelines for critical patches.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80026,POL-2020002,INS-10002,Q07,Describe network segmentation between corporate and production environments.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80027,POL-2020002,INS-10002,Q08,Describe your security awareness training program.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80028,POL-2020002,INS-10002,Q09,Describe critical system recovery time objectives (RTO) and recovery point objectives (RPO).,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80029,POL-2020002,INS-10002,Q10,Describe your business continuity plan for ransomware scenarios.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
