claim_id,policy_id,insured_id,cause_of_loss,loss_date,report_lag_days,gross_incurred_usd,bi_loss_usd,non_bi_loss_usd,paid_to_date_usd,downtime_hours,systems_affected,claim_status
CLM-70000,POL-2020001,INS-10001,Insider Threat,2021-10-02,0,27180,10139,17041,24433,102.4,Customer Portal,Closed
CLM-70001,POL-2020003,INS-10003,Ransomware,2023-06-04,9,3621732,2025802,1595930,1653663,217.4,Trading Platform,Closed
CLM-70002,POL-2020006,INS-10006,Data Breach,2022-01-20,16,1123789,116934,1006855,668815,103.5,Trading Platform,Closed
CLM-70003,POL-2020013,INS-10013,Ransomware,2022-09-21,4,3559508,1638723,1920785,2721092,116.2,Customer Portal,Closed
CLM-70004,POL-2020020,INS-10020,Data Breach,2021-07-06,2,11190,1093,10097,8132,65.6,Customer Portal,Closed
CLM-70005,POL-2020032,INS-10032,Ransomware,2020-05-02,12,470635,202962,267673,380888,182.8,Customer Portal,Open
CLM-70006,POL-2020040,INS-10040,Business Email Compromise,2020-09-22,3,405495,0,405495,339530,0.0,,Open
CLM-70007,POL-2020045,INS-10045,Insider Threat,2021-10-27,0,210858,63685,147173,118876,23.1,Email/Productivity,Open
CLM-70008,POL-2020051,INS-10051,Ransomware,2022-08-17,7,37128,15439,21689,32213,49.3,Customer Portal,Open
CLM-70009,POL-2020053,INS-10053,Data Breach,2025-02-24,1,2146685,446431,1700254,2024191,126.4,Core Banking,Closed
CLM-70010,POL-2020058,INS-10058,Data Breach,2024-09-24,3,541634,143759,397875,235958,329.1,Email/Productivity,Closed
CLM-70011,POL-2020067,INS-10067,Ransomware,2022-02-23,6,4463169,3093442,1369727,1999462,71.5,Email/Productivity,Open
CLM-70012,POL-2020069,INS-10069,DDoS,2022-07-29,1,31953,25242,6711,30396,23.7,Customer Portal,Closed
CLM-70013,POL-2020071,INS-10071,Business Email Compromise,2024-11-01,4,69852,0,69852,62201,0.0,,Closed
CLM-70014,POL-2020074,INS-10074,DDoS,2024-12-15,7,84405,60193,24212,62152,179.3,Customer Portal,Closed
CLM-70015,POL-2020094,INS-10094,Business Email Compromise,2022-06-05,5,139925,4058,135867,63578,1511.7,Multiple Systems,Open
CLM-70016,POL-2020095,INS-10095,Ransomware,2020-07-14,0,733763,322839,410924,571095,18.9,Customer Portal,Open
CLM-70017,POL-2020107,INS-10107,Ransomware,2021-11-20,12,629066,260883,368183,436442,112.0,Payment Processing,Closed
CLM-70018,POL-2020107,INS-10107,Ransomware,2021-09-12,8,415014,215515,199499,393930,284.9,Multiple Systems,Closed
CLM-70019,POL-2020109,INS-10109,Business Email Compromise,2022-10-03,0,19594,0,19594,13445,0.0,,Closed
CLM-70020,POL-2020112,INS-10112,Ransomware,2022-01-28,14,44331,26159,18172,31652,155.0,Payment Processing,Closed
CLM-70021,POL-2020113,INS-10113,Ransomware,2021-01-24,2,266234,164905,101329,117172,49.1,Multiple Systems,Closed
CLM-70022,POL-2020116,INS-10116,Data Breach,2020-12-31,4,2008535,584576,1423959,1067450,16.2,Core Banking,Open
CLM-70023,POL-2020117,INS-10117,Business Email Compromise,2025-05-07,20,253276,0,253276,210887,0.0,,Closed
CLM-70024,POL-2020129,INS-10129,Wire Fraud,2021-10-03,10,237400,0,237400,103349,0.0,,Closed
